"res-5zx6ot href","res-aogzfy","res-inoga3 href","res-1mkhkpt src","res-1j9e5pd href","res-ewgtgq","res-ewgtgq 2","res-du9bhi","res-1bl90s9","res-7axup0","res-7lz8jh","res-7axup0 2","res-7lz8jh 2","res-7axup0 3","res-7lz8jh 5","res-7axup0 6","res-9lmmub","res-du9bhi 2","res-1jn70yv","res-kjzl78","res-kjzl78 2","res-kjzl78 3","res-kjzl78 4","text-snippet-expand-button"
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/sopra-steria-3313/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Cloud-Engineer-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--12946151-inline.html","Cloud Engineer (m/w/d)","Sopra Steria","bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München","70.000 - 78.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 2 Tagen","Teilweise Home-Office","Anschreiben nicht erforderlich","Diese Position bietet dir die Möglichkeit, Teil der gesamten Sopra Steria Group zu werden – sei es bei Sopra Steria SE, Sopra Steria Next, ISS  GmbH oder Sopra Steria Custom  Solutions GmbH.","Software","Software","","mehr"
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/bwi-gmbh-82433/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Systems-Engineer-Full-Managed-Cloud-Stack-m-w-d-Muenchen-Frankfurt-Hamburg-Nuernberg-Ulm-Berlin-Bonn-Leipzig-BWI-GmbH--13877095-inline.html","Systems Engineer - Full Managed Cloud Stack (m/w/d)","BWI GmbH","München, Frankfurt, Hamburg, Nürnberg, Ulm, Berlin, Bonn, Leipzig","49.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 3 Tagen","Teilweise Home-Office","Schnelle Bewerbung","BWI GmbH * München, Frankfurt, Hamburg, Nürnberg, Ulm, Berlin, Bonn, Leipzig * Feste Anstellung * Homeoffice möglich, Vollzeit - Schnelle Bewerbung - Als primärer Digitalisierungspartner der Bundeswehr erbringen wir stabile, sichere und effiziente IT-Services im In- und Ausland, vom Grundbetrieb bis in den einsatznahen Bereich und tragen so zur kontinuierlichen Erhöhung der Führungs- und Einsatzfähigkeit der Bundeswehr bei. Mit über 8.000 Kolleg*innen betreiben und modernisieren wir eine der größten und komplexesten IT-Infrastrukturen in Deutschland. Wir suchen verantwortungsvolle IT-Spezialist*innen, die die Bundeswehr-IT aus Überzeugung in herausfordernden Digitalisierungsvorhaben weiterentwickeln und so einen Beitrag zur Sicherheit Deutschlands leisten wollen. Sorge gemeinsam mit uns für die digitale Zukunftsfähigkeit der Bundeswehr.","","","","mehr"
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/suss-microtec-se-147552/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Senior-Qlik-Sense-Developer-m-f-d-Garching-bei-Muenchen-Sternenfels-SUSS-MicroTec-SE--13818672-inline.html","Senior Qlik Sense Developer (m/f/d)","SUSS MicroTec SE","Garching bei München, Sternenfels","75.000 - 95.000 €/Jahr  (geschätzt für Vollzeit)","Englisch","|","SQL","","","|","Deutsch","vor 2 Tagen","Teilweise Home-Office","","","","","",""
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/simonsvoss-technologies-gmbh-40446/jobs","","https://www.stepstone.de/stellenangebote--Software-Entwickler-NET-m-w-d-Unterfoehring-bei-Muenchen-SimonsVoss-Technologies-GmbH--13544976-inline.html","Software-Entwickler .NET (m/w/d)","SimonsVoss Technologies GmbH","Unterföhring bei München","55.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 4 Tagen","Teilweise Home-Office","Anschreiben nicht erforderlich","Du brennst dafür, innovative  zu entwickeln, die wirklich etwas bewirken? * Innovation & Entwicklung: Du wirkst an der Entwicklung und Wartung von Cloud- und On-Premises- mit, hauptsächlich auf Basis des .NET-Frameworks. * Architektur & Optimierung: Du setzt  nach architektonischen Vorgaben um und verbesserst diese, um Stabilität und Skalierbarkeit sicherzustellen. * Ein abgeschlossenes Studium der Informatik,  oder einem verwandten Bereich – oder vergleichbare praktische Erfahrung. * Fundierte Erfahrung in der  mit Schwerpunkt auf dem .NET-Ökosystem (z. B. C#, ASP.NET Core, Entity Framework). * Kenntnisse von Cloud-Technologien (insbesondere Azure) sowie Verständnis für die Entwicklung von  für Cloud-Umgebungen. * Kenntnisse in -Design-Prinzipien wie SOLID und Clean Code sowie die ...","Softwarelösungen","Softwarelösungen","Softwarekomponenten","mehr"
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/abs-rechenzentrum-gmbh-253252/jobs","","https://www.stepstone.de/stellenangebote--Softwareentwickler-Fullstack-Developer-m-w-d-Lohn-HR-Loesungen-Home-Office-Muenchen-Berlin-Hamburg-Stuttgart-Koeln-Frankfurt-Duesseldorf-Leipzig-a-b-s-Rechenzentrum-GmbH--13867198-inline.html","Softwareentwickler/Fullstack-Developer (m/w/d) - Lohn & HR-Lösungen","a.b.s. Rechenzentrum GmbH","Home-Office, München, Berlin, Hamburg, Stuttgart, Köln, Frankfurt, Düsseldorf, Leipzig","45.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","Git","|","Informatik","|","Python","|","Deutsch","vor 4 Tagen","Teilweise Home-Office","","","","","",""
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/adesso-se-7420/jobs","","https://www.stepstone.de/stellenangebote--CMS-Full-Stack-Developer-Magnolia-all-genders-Augsburg-Berlin-Bonn-Dortmund-Dresden-Muenchen-Koeln-Frankfurt-Stuttgart-Leipzig-Dortmund-adesso-SE--13949455-inline.html","CMS Full Stack Developer Magnolia (all genders)","adesso SE","Augsburg, Berlin, Bonn, Dortmund, Dresden, München, Köln, Frankfurt, Stuttgart, Leipzig, Dortmund","48.000 - 83.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 3 Tagen","Teilweise Home-Office","Anschreiben nicht erforderlich","Entwickle  Nutze dein Know-how in Backend und Frontend, um Projekte mit Java- und Web-Technologien von Anforderungsanalyse über die Konzeption bis hin zur Aufwandsschätzung und bis zum Rollout zu realisieren. * Leidenschaft für Technologien: Du liebst es,  zu entwickeln und tauchst gerne in neue Themen ein.","Softwarelösungen:","Software","","mehr"
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/atruvia-ag-275261/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Frontend-Entwickler-e-m-Commerce-m-w-d-DBAPPA-Aschheim-Atruvia-AG--13867737-inline.html","Frontend Entwickler e/m Commerce (m/w/d) | DBAPPA","Atruvia AG","Aschheim","70.000 - 102.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 4 Tagen","Teilweise Home-Office","Anschreiben nicht erforderlich","Als Mitglied des Teams e/m Commerce gestaltest du den gesamten -Lifecycle für Online-Bezahlverfahren wie Wero - von der ersten Idee über Entwicklung und Tests bis hin zur erfolgreichen Produktion.","Software","","","mehr"
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/adesso-insurance-solutions-gmbh-153720/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Java-Software-Developer-Professional-Services-all-genders-Duesseldorf-Koeln-Frankfurt-Essen-Muenchen-Hamburg-weitere-Standorte-in-DE-adesso-insurance-solutions-GmbH--13949101-inline.html","Java Software Developer Professional Services (all genders)","adesso insurance solutions GmbH","Düsseldorf, Köln, Frankfurt, Essen, München, Hamburg, weitere Standorte in DE","48.000 - 73.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","|","Angular","|","Kommunikation","|","Deutsch","vor 4 Tagen","","","","","","",""
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/cib-software-gmbh-81328/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--AI-Software-Developer-m-w-d-Muenchen-CIB-software-GmbH--13941247-inline.html","AI Software Developer (m/w/d)","CIB software GmbH","München","61.000 - 83.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","|","Microsoft Azure","|","Kommunikation","|","Python","vor 4 Tagen","Teilweise Home-Office","","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/atruvia-ag-275261/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Fullstack-Entwickler-e-m-Commerce-m-w-d-DBAPPA-Aschheim-Atruvia-AG--13867748-inline.html","Fullstack Entwickler e/m Commerce (m/w/d) | DBAPPA","Atruvia AG","Aschheim","70.000 - 102.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 5 Tagen","Teilweise Home-Office","Anschreiben nicht erforderlich","Als Mitglied des Teams e/m Commerce gestaltest du den gesamten -Lifecycle für Online-Bezahlverfahren wie Wero - von der ersten Idee über Entwicklung und Tests bis hin zur Produktion. * Du entwickelst Schnittstellen im Backend und konzipierst skalierbare, performante Microservices für unsere  wobei du KI-Tools nutzt, um deine Entwicklung effizienter und zukunftsweisender zu gestalten.","Software","Softwarelösungen,","","mehr"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/adesso-se-7420/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Microsoft-Dynamics-CRM-Developer-all-genders-Berlin-Hamburg-Muenchen-Koeln-Frankfurt-Stuttgart-Leipzig-Dortmund-adesso-SE--13949423-inline.html","Microsoft Dynamics CRM Developer (all genders)","adesso SE","Berlin, Hamburg, München, Köln, Frankfurt, Stuttgart, Leipzig, Dortmund","47.000 - 78.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 4 Tagen","Teilweise Home-Office","Anschreiben nicht erforderlich","adesso SE * Berlin, Hamburg, München, Köln, Frankfurt, Stuttgart, Leipzig, Dortmund * Feste Anstellung * Homeoffice möglich, Vollzeit - Sei einer der ersten Bewerber - Anschreiben nicht erforderlich - adesso steht für digitale Exzellenz – und damit auch für vielfältige Entwicklungsmöglichkeiten für alle adessi. Wir wachsen gemeinsam und lernen voneinander: in anspruchsvollen Projekten, interdisziplinären Teams und mit zielgerichteten Trainingsangeboten. Wir haben IT im Herzen und den Erfolg unserer Kunden im Fokus. Als Treiber der KI-Transformation verbinden wir Mut zur Veränderung mit technologischer Expertise und zukunftsfähigen Strategien. Was uns stark macht, sind unsere adessi, die etwas bewegen wollen und das einfach machen. Dieses Handeln lebt von unserer Kultur, die auf Offenheit, Verantwortungsübernahme und gemeinsamen Erfolgen basiert.","","","","mehr"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/hausbank-m%c3%bcnchen-eg-50069/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Fullstack-Lead-Developer-m-w-d-Java-Muenchen-Hausbank-Muenchen-eG--13877596-inline.html","Fullstack Lead Developer (m/w/d) Java","Hausbank München eG","München","67.000 - 90.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 3 Tagen","Teilweise Home-Office","Schnelle Bewerbung","Starker Partner für Hausverwalter mit einem Portfolio an  wie einer  mit integrierten Bankdienstleistungen, einem CRM-Tool u. v. m. * Technische Konzeption und Entwicklung unserer hauseigenen immobilienwirtschaftlichen  * Erster Ansprechpartner (m/w/d) für unser Produktmanagement und andere Stakeholder zur technischen Produktkonzeption unserer  * Abstimmung und Umsetzung fachlicher Vorgaben in performante und sichere  * 3rd-Level-Support für unsere hauseigene immobilienwirtschaftliche","Branchensoftware,","Verwaltersoftware","Software","mehr"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/randstad-digital-germany-ag-31685/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Lead-Developer-Software-Architect-Hybrid-m-w-d-Duesseldorf-Eschborn-Hamburg-Muenchen-Nuernberg-Stuttgart-Randstad-Digital-Germany-AG--13561286-inline.html","Lead Developer / Software Architect - Hybrid (m/w/d)","Randstad Digital Germany AG","Düsseldorf, Eschborn, Hamburg, München, Nürnberg, Stuttgart","75.000 - 105.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 3 Tagen","Teilweise Home-Office","Schnelle Bewerbung","Als globales Technologieunternehmen der Randstad Gruppe bieten wir maßgeschneiderte  und IT-Consulting in den Bereichen Advisory, Customer Experience, Cloud, Digital & Product Engineering sowie Data & Analytics auf höchstem Niveau. Randstad Digital setzt sich für Diversität & Inklusion am Arbeitsplatz ein: Vielfalt unterschiedlicher Ideen, Erfahrungen und Perspektiven unserer Digital  sind maßgeblich für unseren Erfolg. * Du bringst Know-How im Entwurf und in der Implementierung von -Systemen mit, die als Container, in PaaS Umgebungen (Kubernetes, Cloudfoundry, et al) oder in der Cloud ausgeliefert und betrieben werden. * Tiefgreifende Kenntnisse im Design von  und in der Anbindung unterschiedlichster Schnittstellen zeichnen dich aus. * Erfahrung mit DevOps-getriebenen  und Release-Prozessen, automatisierten ...","Softwareentwicklung","Engineers","Software","mehr"
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/pta-gmbh-57032/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--DevOps-Engineer-m-w-d-in-der-IT-Beratung-Berlin-Dresden-Duesseldorf-Frankfurt-Hamburg-Karlsruhe-Kassel-Koeln-Mannheim-Muenchen-u-a-PTA-GmbH--13495205-inline.html","DevOps Engineer (m/w/d) in der IT-Beratung","PTA GmbH","Berlin, Dresden, Düsseldorf, Frankfurt, Hamburg, Karlsruhe, Kassel, Köln, Mannheim, München, u.a.","47.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","|","Englisch","|","Microsoft Azure","|","Deutsch","vor 5 Tagen","Teilweise Home-Office","","","","","",""
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/cancom-se-98723/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--ServiceNow-Developer-m-w-d-Berlin-Duesseldorf-Frankfurt-am-Main-Hamburg-Koeln-Muenchen-Nuernberg-CANCOM-SE--13637238-inline.html","ServiceNow Developer (m/w/d)","CANCOM SE","Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Köln, München, Nürnberg","54.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 5 Stunden","Teilweise Home-Office","Schnelle Bewerbung","CANCOM SE * Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Köln, München, Nürnberg * Feste Anstellung * Homeoffice möglich, Vollzeit - Schnelle Bewerbung - Bei CANCOM erwartet dich ein innovatives, agiles und nachhaltiges Umfeld: Mehr als 5.300 Mitarbeiter arbeiten tagtäglich daran, mit Hilfe moderner IT-Lösungen die Zusammenarbeit und den Austausch in verschiedenen Lebensbereichen zu verbessern. Du hast Lust ein Teil davon zu sein und den nächsten Karriereschritt zu gehen? Dann werde Teil unserer Digital Journey. Wir freuen uns auf Menschen aus den unterschiedlichsten Fachrichtungen, die aufgeschlossen für Neues sind, innovative Einfälle haben und im Team gemeinsam Ziele voranbringen wollen. Bei CANCOM bist du Teil eines dynamischen und wachsenden Umfelds, in dem Innovation und Kundenorientierung an erster Stelle stehen.","","","","mehr"
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/bmw-group-27361/jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","https://www.stepstone.de/stellenangebote--Agentic-AI-Engineer-f-m-x-Muenchen-BMW-Group--13888911-inline.html","Agentic AI Engineer (f/m/x)","BMW Group","München","79.000 - 102.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 2 Tagen","","","At least 3 years of practical experience in  development with Python (e.g., through internships, working student positions or thesis projects). * Proficiency in  development best practices such as clean code principles, object-oriented programming, DevOps and testing; experience in AWS or Azure is a plus.","software","software","","mehr"
